,Age,Gender,Marital status,Race status,Birth,Language,Occupation,Income (K),ec
16280,"[""40"" - ""53""]",2,6,"[""2"" - ""8""]","[""200"" - ""521""]","[""12"" - ""74""]","[""6"" - ""10""]",200,237
15633,"[""40"" - ""53""]",2,6,"[""2"" - ""8""]","[""200"" - ""521""]","[""12"" - ""74""]","[""6"" - ""10""]",920,237
16484,"[""40"" - ""53""]",2,6,"[""2"" - ""8""]","[""200"" - ""521""]","[""12"" - ""74""]","[""6"" - ""10""]",360,237
16310,"[""18"" - ""37""]",2,6,"[""2"" - ""8""]","[""200"" - ""521""]","[""12"" - ""74""]","[""6"" - ""10""]",402,238
15631,"[""18"" - ""37""]",2,6,"[""2"" - ""8""]","[""200"" - ""521""]","[""12"" - ""74""]","[""6"" - ""10""]",360,238
13915,"[""18"" - ""37""]",2,6,"[""2"" - ""8""]","[""200"" - ""521""]","[""12"" - ""74""]","[""6"" - ""10""]",524,238
12501,"[""18"" - ""37""]",2,6,"[""2"" - ""8""]","[""200"" - ""521""]","[""12"" - ""74""]","[""6"" - ""10""]",402,238
12126,"[""18"" - ""37""]",2,6,"[""2"" - ""8""]","[""200"" - ""521""]","[""12"" - ""74""]","[""6"" - ""10""]",451,238
13127,"[""42"" - ""50""]",2,6,"[""2"" - ""8""]","[""2"" - ""200""]","[""12"" - ""74""]","[""6"" - ""10""]",330,239
15706,"[""42"" - ""50""]",2,6,"[""2"" - ""8""]","[""2"" - ""200""]","[""12"" - ""74""]","[""6"" - ""10""]",474,239
16453,"[""42"" - ""50""]",2,6,"[""2"" - ""8""]","[""2"" - ""200""]","[""12"" - ""74""]","[""6"" - ""10""]",524,239
16311,"[""17"" - ""41""]",2,6,"[""2"" - ""8""]","[""2"" - ""200""]","[""12"" - ""74""]","[""6"" - ""10""]",472,240
15648,"[""17"" - ""41""]",2,6,"[""2"" - ""8""]","[""2"" - ""200""]","[""12"" - ""74""]","[""6"" - ""10""]",411,240
16317,"[""17"" - ""41""]",2,6,"[""2"" - ""8""]","[""2"" - ""200""]","[""12"" - ""74""]","[""6"" - ""10""]",460,240
13462,"[""17"" - ""41""]",2,6,"[""2"" - ""8""]","[""2"" - ""200""]","[""12"" - ""74""]","[""6"" - ""10""]",155,240
12351,"[""17"" - ""41""]",2,6,"[""2"" - ""8""]","[""2"" - ""200""]","[""12"" - ""74""]","[""6"" - ""10""]",586,240
15477,"[""17"" - ""41""]",2,6,"[""2"" - ""8""]","[""2"" - ""200""]","[""12"" - ""74""]","[""6"" - ""10""]",411,240
13859,"[""17"" - ""41""]",2,6,"[""2"" - ""8""]","[""2"" - ""200""]","[""12"" - ""74""]","[""6"" - ""10""]",411,240
16482,"[""25"" - ""62""]",2,6,"[""2"" - ""8""]","[""200"" - ""600""]","[""12"" - ""74""]","[""1"" - ""6""]",422,241
13920,"[""25"" - ""62""]",2,6,"[""2"" - ""8""]","[""200"" - ""600""]","[""12"" - ""74""]","[""1"" - ""6""]",423,241
12886,"[""25"" - ""62""]",2,6,"[""2"" - ""8""]","[""200"" - ""600""]","[""12"" - ""74""]","[""1"" - ""6""]",552,241
12060,"[""25"" - ""62""]",2,6,"[""2"" - ""8""]","[""2"" - ""200""]","[""12"" - ""74""]","[""1"" - ""6""]",420,242
14112,"[""25"" - ""62""]",2,6,"[""2"" - ""8""]","[""2"" - ""200""]","[""12"" - ""74""]","[""1"" - ""6""]",472,242
12142,"[""25"" - ""62""]",2,6,"[""2"" - ""8""]","[""2"" - ""200""]","[""12"" - ""74""]","[""1"" - ""6""]",254,242
16198,"[""25"" - ""62""]",2,6,"[""2"" - ""8""]","[""2"" - ""200""]","[""12"" - ""74""]","[""1"" - ""6""]",472,242
15693,"[""25"" - ""62""]",2,6,"[""2"" - ""8""]","[""2"" - ""200""]","[""12"" - ""74""]","[""1"" - ""6""]",423,242
15997,"[""25"" - ""62""]",2,6,"[""2"" - ""8""]","[""2"" - ""200""]","[""12"" - ""74""]","[""1"" - ""6""]",880,242
12354,"[""16"" - ""22""]",2,6,"[""2"" - ""8""]","[""27"" - ""515""]","[""12"" - ""74""]","[""1"" - ""6""]",476,243
13921,"[""16"" - ""22""]",2,6,"[""2"" - ""8""]","[""27"" - ""515""]","[""12"" - ""74""]","[""1"" - ""6""]",540,243
16312,"[""16"" - ""22""]",2,6,"[""2"" - ""8""]","[""27"" - ""515""]","[""12"" - ""74""]","[""1"" - ""6""]",472,243
2083,"[""16"" - ""22""]",2,6,"[""2"" - ""8""]","[""27"" - ""515""]","[""12"" - ""74""]","[""1"" - ""6""]",854,243
12898,"[""16"" - ""22""]",2,6,"[""2"" - ""8""]","[""27"" - ""515""]","[""12"" - ""74""]","[""1"" - ""6""]",962,243
3546,"[""16"" - ""22""]",2,6,"[""2"" - ""8""]","[""1"" - ""6""]","[""12"" - ""74""]","[""1"" - ""6""]",494,244
13191,"[""16"" - ""22""]",2,6,"[""2"" - ""8""]","[""1"" - ""6""]","[""12"" - ""74""]","[""1"" - ""6""]",406,244
12143,"[""16"" - ""22""]",2,6,"[""2"" - ""8""]","[""1"" - ""6""]","[""12"" - ""74""]","[""1"" - ""6""]",422,244
15573,"[""16"" - ""22""]",2,6,"[""2"" - ""8""]","[""1"" - ""6""]","[""12"" - ""74""]","[""1"" - ""6""]",516,244
16203,"[""16"" - ""22""]",2,6,"[""2"" - ""8""]","[""1"" - ""6""]","[""12"" - ""74""]","[""1"" - ""6""]",823,244
15618,"[""16"" - ""22""]",2,6,"[""2"" - ""8""]","[""1"" - ""6""]","[""12"" - ""74""]","[""1"" - ""6""]",540,244
16199,"[""16"" - ""22""]",2,6,"[""2"" - ""8""]","[""1"" - ""6""]","[""12"" - ""74""]","[""1"" - ""6""]",472,244
16512,"[""16"" - ""22""]",2,6,"[""2"" - ""8""]","[""1"" - ""6""]","[""12"" - ""74""]","[""1"" - ""6""]",586,244
1893,"[""28"" - ""48""]",2,6,"[""2"" - ""8""]","[""4"" - ""515""]","[""1"" - ""11""]","[""8"" - ""11""]",584,245
16016,"[""28"" - ""48""]",2,6,"[""2"" - ""8""]","[""4"" - ""515""]","[""1"" - ""11""]","[""8"" - ""11""]",62,245
16244,"[""28"" - ""48""]",2,6,"[""2"" - ""8""]","[""4"" - ""515""]","[""1"" - ""11""]","[""8"" - ""11""]",201,245
3591,"[""28"" - ""48""]",2,6,"[""2"" - ""8""]","[""4"" - ""515""]","[""1"" - ""11""]","[""8"" - ""11""]",100,245
12633,"[""28"" - ""48""]",2,6,"[""2"" - ""8""]","[""4"" - ""515""]","[""1"" - ""11""]","[""8"" - ""11""]",570,245
14141,"[""28"" - ""48""]",2,6,"[""2"" - ""8""]","[""4"" - ""515""]","[""1"" - ""11""]","[""8"" - ""11""]",402,245
14331,"[""28"" - ""48""]",2,6,"[""2"" - ""8""]","[""4"" - ""515""]","[""1"" - ""11""]","[""8"" - ""11""]",402,245
13492,"[""28"" - ""48""]",2,6,"[""2"" - ""8""]","[""4"" - ""515""]","[""1"" - ""11""]","[""8"" - ""11""]",570,245
12580,"[""28"" - ""48""]",2,6,"[""2"" - ""8""]","[""4"" - ""515""]","[""1"" - ""11""]","[""8"" - ""11""]",500,245
14105,"[""28"" - ""48""]",2,6,"[""2"" - ""8""]","[""4"" - ""515""]","[""1"" - ""11""]","[""8"" - ""11""]",201,245
3490,"[""20"" - ""28""]",2,6,"[""2"" - ""8""]","[""4"" - ""515""]","[""1"" - ""11""]","[""8"" - ""11""]",230,246
1986,"[""20"" - ""28""]",2,6,"[""2"" - ""8""]","[""4"" - ""515""]","[""1"" - ""11""]","[""8"" - ""11""]",174,246
15831,"[""20"" - ""28""]",2,6,"[""2"" - ""8""]","[""4"" - ""515""]","[""1"" - ""11""]","[""8"" - ""11""]",586,246
16665,"[""20"" - ""28""]",2,6,"[""2"" - ""8""]","[""4"" - ""515""]","[""1"" - ""11""]","[""8"" - ""11""]",365,246
15517,"[""20"" - ""28""]",2,6,"[""2"" - ""8""]","[""4"" - ""515""]","[""1"" - ""11""]","[""8"" - ""11""]",364,246
4125,"[""20"" - ""28""]",2,6,"[""2"" - ""8""]","[""4"" - ""515""]","[""1"" - ""11""]","[""8"" - ""11""]",531,246
4148,"[""20"" - ""28""]",2,6,"[""2"" - ""8""]","[""4"" - ""515""]","[""1"" - ""11""]","[""8"" - ""11""]",80,246
2149,"[""20"" - ""28""]",2,6,"[""2"" - ""8""]","[""4"" - ""515""]","[""1"" - ""11""]","[""8"" - ""11""]",570,246
13964,"[""20"" - ""28""]",2,6,"[""2"" - ""8""]","[""4"" - ""515""]","[""1"" - ""11""]","[""8"" - ""11""]",472,246
3521,"[""20"" - ""28""]",2,6,"[""2"" - ""8""]","[""4"" - ""515""]","[""1"" - ""11""]","[""8"" - ""11""]",353,246
13440,"[""20"" - ""28""]",2,6,"[""2"" - ""8""]","[""4"" - ""515""]","[""1"" - ""11""]","[""8"" - ""11""]",201,246
